This file contains run/runlet list for all the slugs in run1 after 25 %
mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and slug=42 and runlet.full_run='false' order by runlet.run_number, segment_number;
+------------+----------------+
| run_number | segment_number |
|       9986 |              5 | 
|       9986 |              6 | 
|       9986 |              7 | 
|       9986 |              8 | 
|       9986 |              9 | 
|       9986 |             10 | 
|       9986 |             11 | 
|       9987 |              0 | 
|       9987 |              1 | 
|       9987 |              2 | 
|       9987 |              3 | 
|       9987 |              4 | 
|       9987 |              5 | 
|       9987 |              6 | 
|       9987 |              7 | 
|       9987 |              8 | 
|       9988 |              0 | 
|       9988 |              1 | 
|       9988 |              2 | 
|       9988 |              3 | 
|       9988 |              4 | 
|       9988 |              5 | 
|       9988 |              6 | 
|       9988 |              7 | 
|       9988 |              8 | 
|       9989 |              0 | 
|       9989 |              1 | 
|       9989 |              2 | 
|       9989 |              3 | 
|       9989 |              4 | 
|       9989 |              5 | 
|       9989 |              6 | 
|       9989 |              7 | 
|       9989 |              8 | 
|       9990 |              0 | 
|       9990 |              1 | 
|       9990 |              2 | 
|       9990 |              3 | 
|       9990 |              4 | 
|       9990 |              5 | 
+------------+----------------+
72 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=45;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|       9991 |              0 | 
|       9991 |              1 | 
|       9992 |              0 | 
|       9992 |              1 | 
|       9992 |              2 | 
|       9992 |              3 | 
|       9992 |              4 | 
|       9992 |              5 | 
|       9992 |              6 | 
|       9992 |              7 | 
|       9993 |              0 | 
|       9993 |              1 | 
|       9993 |              2 | 
|       9993 |              3 | 
|       9993 |              4 | 
|       9993 |              5 | 
|       9993 |              6 | 
|       9993 |              7 | 
|       9994 |              0 | 
|       9994 |              1 | 
|       9994 |              2 | 
|       9994 |              3 | 
|       9995 |              0 | 
|       9995 |              1 | 
|       9995 |              2 | 
|       9995 |              3 | 
|       9995 |              4 | 
|       9995 |              5 | 
|       9995 |              6 | 
|       9996 |              0 | 
|       9996 |              1 | 
|       9996 |              2 | 
|       9996 |              3 | 
|       9996 |              4 | 
|       9996 |              5 | 
|       9996 |              6 | 
|       9996 |              7 | 
|       9996 |              8 | 
|       9996 |              9 | 
|       9997 |              0 | 
|       9997 |              1 | 
|       9997 |              2 | 
|       9997 |              3 | 
|       9997 |              4 | 
|       9998 |              0 | 
|       9998 |              1 | 
|       9998 |              2 | 
|       9998 |              3 | 
|       9998 |              4 | 
|       9998 |              5 | 
|       9998 |              6 | 
|       9998 |              7 | 
|       9999 |              0 | 
|      10000 |              0 | 
|      10000 |              1 | 
|      10000 |              2 | 
|      10001 |              0 | 
|      10002 |              0 | 
|      10002 |              1 | 
|      10003 |              0 | 
|      10003 |              1 | 
|      10003 |              2 | 
|      10003 |              3 | 
|      10003 |              4 | 
|      10003 |              5 | 
|      10003 |              6 | 
|      10003 |              7 | 
|      10003 |              8 | 
|      10003 |              9 | 
+------------+----------------+
69 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=46;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10005 |              0 | 
|      10005 |              1 | 
|      10005 |              2 | 
|      10005 |              3 | 
|      10006 |              0 | 
|      10006 |              1 | 
|      10006 |              2 | 
|      10006 |              3 | 
|      10006 |              4 | 
|      10006 |              5 | 
|      10006 |              6 | 
|      10006 |              7 | 
|      10006 |              8 | 
|      10007 |              0 | 
|      10009 |              0 | 
|      10009 |              1 | 
|      10009 |              2 | 
|      10010 |              0 | 
|      10010 |              1 | 
|      10010 |              2 | 
|      10011 |              0 | 
|      10011 |              1 | 
|      10011 |              2 | 
|      10011 |              3 | 
|      10011 |              4 | 
|      10011 |              5 | 
|      10011 |              6 | 
|      10011 |              7 | 
|      10011 |              8 | 
|      10012 |              0 | 
|      10012 |              1 | 
|      10013 |              0 | 
|      10013 |              1 | 
|      10013 |              2 | 
|      10013 |              3 | 
|      10013 |              4 | 
|      10013 |              5 | 
|      10013 |              6 | 
|      10013 |              7 | 
|      10014 |              0 | 
|      10014 |              1 | 
|      10014 |              2 | 
|      10014 |              3 | 
|      10014 |              4 | 
|      10014 |              5 | 
|      10014 |              6 | 
|      10015 |              0 | 
|      10015 |              1 | 
|      10016 |              0 | 
|      10016 |              1 | 
|      10017 |              0 | 
|      10018 |              0 | 
|      10019 |              0 | 
|      10020 |              0 | 
|      10021 |              0 | 
|      10022 |              0 | 
|      10022 |              1 | 
|      10022 |              2 | 
|      10022 |              3 | 
|      10023 |              0 | 
|      10023 |              1 | 
|      10023 |              2 | 
|      10023 |              3 | 
|      10023 |              4 | 
|      10023 |              5 | 
|      10023 |              6 | 
|      10023 |              7 | 
|      10024 |              0 | 
|      10024 |              1 | 
|      10024 |              2 | 
|      10024 |              3 | 
|      10024 |              4 | 
|      10024 |              5 | 
|      10024 |              6 | 
|      10024 |              7 | 
|      10024 |              8 | 
|      10025 |              0 | 
|      10025 |              1 | 
|      10025 |              2 | 
|      10025 |              3 | 
|      10025 |              4 | 
|      10025 |              5 | 
|      10025 |              6 | 
|      10025 |              7 | 
|      10025 |              8 | 
|      10025 |              9 | 
|      10026 |              0 | 
|      10027 |              0 | 
|      10027 |              1 | 
|      10027 |              2 | 
|      10027 |              3 | 
|      10027 |              4 | 
|      10027 |              5 | 
|      10027 |              6 | 
|      10027 |              7 | 
|      10027 |              8 | 
|      10028 |              0 | 
|      10028 |              1 | 
|      10028 |              2 | 
|      10028 |              3 | 
|      10028 |              4 | 
|      10028 |              5 | 
|      10028 |              6 | 
|      10028 |              7 | 
|      10028 |              8 | 
|      10029 |              0 | 
|      10029 |              1 | 
|      10029 |              2 | 
|      10029 |              3 | 
|      10029 |              4 | 
|      10029 |              5 | 
|      10029 |              6 | 
+------------+----------------+
112 rows in set (0.02 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=47;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10030 |              0 | 
|      10030 |              1 | 
|      10030 |              2 | 
|      10031 |              0 | 
|      10031 |              1 | 
|      10031 |              2 | 
|      10031 |              3 | 
|      10031 |              4 | 
|      10031 |              5 | 
|      10031 |              6 | 
|      10031 |              7 | 
|      10031 |              8 | 
|      10031 |              9 | 
|      10032 |              0 | 
|      10032 |              1 | 
|      10032 |              2 | 
|      10032 |              3 | 
|      10032 |              4 | 
|      10032 |              5 | 
|      10032 |              6 | 
|      10032 |              7 | 
|      10032 |              8 | 
|      10032 |              9 | 
|      10033 |              0 | 
|      10033 |              1 | 
|      10033 |              2 | 
|      10033 |              3 | 
|      10033 |              4 | 
|      10033 |              5 | 
|      10033 |              6 | 
|      10033 |              7 | 
|      10033 |              8 | 
|      10033 |              9 | 
|      10033 |             10 | 
|      10034 |              0 | 
|      10034 |              1 | 
|      10034 |              2 | 
|      10034 |              3 | 
|      10034 |              4 | 
|      10034 |              5 | 
|      10034 |              6 | 
|      10035 |              0 | 
|      10035 |              1 | 
|      10035 |              2 | 
|      10035 |              3 | 
|      10035 |              4 | 
|      10035 |              5 | 
|      10035 |              6 | 
|      10035 |              7 | 
|      10035 |              8 | 
|      10035 |              9 | 
|      10035 |             10 | 
|      10036 |              0 | 
|      10036 |              1 | 
|      10036 |              2 | 
|      10036 |              3 | 
|      10036 |              4 | 
|      10036 |              5 | 
|      10036 |              6 | 
|      10036 |              7 | 
|      10036 |              8 | 
|      10037 |              0 | 
|      10037 |              1 | 
|      10037 |              2 | 
+------------+----------------+
64 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=48;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10038 |              0 | 
|      10039 |              0 | 
|      10039 |              1 | 
|      10039 |              2 | 
|      10039 |              3 | 
|      10039 |              4 | 
|      10039 |              5 | 
|      10039 |              6 | 
|      10039 |              7 | 
|      10039 |              8 | 
|      10039 |              9 | 
|      10039 |             10 | 
|      10040 |              0 | 
|      10040 |              1 | 
|      10041 |              0 | 
|      10041 |              1 | 
|      10041 |              2 | 
|      10041 |              3 | 
|      10041 |              4 | 
|      10041 |              5 | 
|      10041 |              6 | 
|      10041 |              7 | 
|      10041 |              8 | 
|      10042 |              0 | 
|      10042 |              1 | 
|      10042 |              2 | 
|      10042 |              3 | 
|      10042 |              4 | 
|      10042 |              5 | 
|      10042 |              6 | 
|      10042 |              7 | 
|      10042 |              8 | 
|      10043 |              0 | 
|      10043 |              1 | 
|      10044 |              0 | 
|      10044 |              1 | 
|      10044 |              2 | 
|      10044 |              3 | 
|      10044 |              4 | 
|      10044 |              5 | 
|      10044 |              6 | 
|      10044 |              7 | 
|      10044 |              8 | 
|      10045 |              0 | 
|      10045 |              1 | 
|      10045 |              2 | 
|      10045 |              3 | 
|      10045 |              4 | 
|      10045 |              5 | 
|      10045 |              6 | 
|      10045 |              7 | 
|      10045 |              8 | 
|      10046 |              0 | 
|      10046 |              1 | 
|      10046 |              2 | 
|      10046 |              3 | 
|      10046 |              4 | 
|      10046 |              5 | 
|      10046 |              6 | 
|      10046 |              7 | 
|      10046 |              8 | 
|      10047 |              0 | 
|      10047 |              1 | 
|      10047 |              2 | 
|      10047 |              3 | 
|      10047 |              4 | 
|      10048 |              0 | 
|      10048 |              1 | 
|      10048 |              2 | 
|      10048 |              3 | 
|      10048 |              4 | 
|      10048 |              5 | 
|      10048 |              6 | 
|      10048 |              7 | 
|      10048 |              8 | 
+------------+----------------+
75 rows in set (0.00 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=49;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10049 |              0 | 
|      10049 |              1 | 
|      10049 |              2 | 
|      10049 |              3 | 
|      10049 |              4 | 
|      10049 |              5 | 
|      10049 |              6 | 
|      10049 |              7 | 
|      10049 |              8 | 
|      10050 |              0 | 
|      10050 |              1 | 
|      10050 |              2 | 
|      10050 |              3 | 
|      10050 |              4 | 
|      10050 |              5 | 
|      10050 |              6 | 
|      10050 |              7 | 
|      10050 |              8 | 
|      10051 |              0 | 
|      10051 |              1 | 
|      10051 |              2 | 
|      10051 |              3 | 
|      10051 |              4 | 
|      10051 |              5 | 
|      10051 |              6 | 
|      10051 |              7 | 
|      10052 |              0 | 
|      10052 |              1 | 
|      10052 |              2 | 
|      10052 |              3 | 
|      10052 |              4 | 
|      10052 |              5 | 
|      10052 |              6 | 
|      10052 |              7 | 
|      10052 |              8 | 
|      10052 |              9 | 
|      10053 |              0 | 
|      10053 |              1 | 
|      10053 |              2 | 
|      10053 |              3 | 
|      10053 |              4 | 
|      10053 |              5 | 
|      10053 |              6 | 
|      10053 |              7 | 
|      10053 |              8 | 
|      10054 |              0 | 
|      10054 |              1 | 
|      10054 |              2 | 
|      10054 |              3 | 
|      10054 |              4 | 
|      10054 |              5 | 
|      10054 |              6 | 
|      10054 |              7 | 
|      10054 |              8 | 
|      10055 |              0 | 
|      10055 |              1 | 
|      10055 |              2 | 
|      10055 |              3 | 
|      10055 |              4 | 
|      10055 |              5 | 
|      10055 |              6 | 
|      10055 |              7 | 
|      10055 |              8 | 
|      10056 |              0 | 
|      10056 |              1 | 
|      10056 |              2 | 
|      10056 |              3 | 
|      10056 |              4 | 
|      10056 |              5 | 
|      10056 |              6 | 
|      10056 |              7 | 
|      10056 |              8 | 
+------------+----------------+
72 rows in set (0.00 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=50;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10057 |              0 | 
|      10057 |              1 | 
|      10058 |              0 | 
|      10058 |              1 | 
|      10058 |              2 | 
|      10058 |              3 | 
|      10058 |              4 | 
|      10058 |              5 | 
|      10058 |              6 | 
|      10058 |              7 | 
|      10058 |              8 | 
|      10059 |              0 | 
|      10059 |              1 | 
|      10059 |              2 | 
|      10059 |              3 | 
|      10060 |              0 | 
|      10060 |              1 | 
|      10061 |              0 | 
|      10061 |              1 | 
|      10062 |              0 | 
|      10062 |              1 | 
|      10062 |              2 | 
|      10062 |              3 | 
|      10062 |              4 | 
|      10063 |              0 | 
|      10063 |              1 | 
|      10063 |              2 | 
|      10063 |              3 | 
|      10063 |              4 | 
|      10063 |              5 | 
|      10063 |              6 | 
|      10064 |              0 | 
|      10064 |              1 | 
|      10064 |              2 | 
|      10064 |              3 | 
|      10064 |              4 | 
|      10064 |              5 | 
|      10064 |              6 | 
|      10064 |              7 | 
|      10064 |              8 | 
|      10064 |              9 | 
|      10065 |              0 | 
|      10066 |              0 | 
|      10067 |              0 | 
|      10068 |              0 | 
|      10068 |              1 | 
|      10068 |              2 | 
|      10068 |              3 | 
|      10068 |              4 | 
|      10068 |              5 | 
|      10068 |              6 | 
|      10068 |              7 | 
|      10068 |              8 | 
|      10069 |              0 | 
|      10069 |              1 | 
|      10069 |              2 | 
|      10069 |              3 | 
|      10069 |              4 | 
|      10069 |              5 | 
|      10069 |              6 | 
|      10069 |              7 | 
|      10069 |              8 | 
|      10070 |              0 | 
|      10070 |              1 | 
|      10070 |              2 | 
|      10070 |              3 | 
|      10070 |              4 | 
|      10070 |              5 | 
|      10070 |              6 | 
|      10070 |              7 | 
|      10070 |              8 | 
|      10071 |              0 | 
|      10071 |              1 | 
|      10071 |              2 | 
|      10071 |              3 | 
|      10071 |              4 | 
|      10071 |              5 | 
|      10071 |              6 | 
|      10071 |              7 | 
|      10071 |              8 | 
|      10072 |              0 | 
|      10072 |              1 | 
|      10072 |              2 | 
|      10072 |              3 | 
|      10072 |              4 | 
|      10072 |              5 | 
|      10072 |              6 | 
|      10072 |              7 | 
|      10072 |              8 | 
|      10073 |              0 | 
|      10073 |              1 | 
|      10073 |              2 | 
|      10073 |              3 | 
|      10073 |              4 | 
|      10073 |              5 | 
|      10073 |              6 | 
|      10073 |              7 | 
|      10073 |              8 | 
+------------+----------------+
98 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=51;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10074 |              0 | 
|      10074 |              1 | 
|      10075 |              0 | 
|      10075 |              1 | 
|      10075 |              2 | 
|      10075 |              3 | 
|      10075 |              4 | 
|      10075 |              5 | 
|      10075 |              6 | 
|      10075 |              7 | 
|      10075 |              8 | 
|      10076 |              0 | 
|      10076 |              1 | 
|      10077 |              0 | 
|      10077 |              1 | 
|      10078 |              0 | 
|      10078 |              1 | 
|      10078 |              2 | 
|      10079 |              0 | 
|      10079 |              1 | 
|      10080 |              0 | 
|      10080 |              1 | 
|      10081 |              0 | 
|      10081 |              1 | 
|      10081 |              2 | 
|      10081 |              3 | 
|      10081 |              4 | 
|      10081 |              5 | 
|      10081 |              6 | 
|      10082 |              0 | 
|      10082 |              1 | 
|      10083 |              0 | 
|      10084 |              0 | 
|      10084 |              1 | 
|      10085 |              0 | 
|      10086 |              0 | 
|      10087 |              0 | 
|      10088 |              0 | 
|      10088 |              1 | 
|      10088 |              2 | 
|      10088 |              3 | 
|      10088 |              4 | 
|      10088 |              5 | 
|      10088 |              6 | 
|      10088 |              7 | 
|      10088 |              8 | 
|      10088 |              9 | 
|      10089 |              0 | 
|      10090 |              0 | 
|      10090 |              1 | 
|      10090 |              2 | 
|      10091 |              0 | 
|      10091 |              1 | 
|      10092 |              0 | 
|      10093 |              0 | 
|      10093 |              1 | 
|      10093 |              2 | 
|      10094 |              0 | 
|      10095 |              0 | 
|      10095 |              1 | 
|      10095 |              2 | 
|      10096 |              0 | 
|      10096 |              1 | 
|      10096 |              2 | 
|      10096 |              3 | 
|      10096 |              4 | 
|      10096 |              5 | 
|      10096 |              6 | 
|      10096 |              7 | 
|      10096 |              8 | 
|      10097 |              0 | 
|      10097 |              1 | 
|      10097 |              2 | 
|      10097 |              3 | 
|      10097 |              4 | 
|      10097 |              5 | 
|      10097 |              6 | 
|      10097 |              7 | 
|      10097 |              8 | 
|      10098 |              0 | 
|      10098 |              1 | 
|      10098 |              2 | 
|      10098 |              3 | 
|      10098 |              4 | 
|      10098 |              5 | 
|      10098 |              6 | 
|      10098 |              7 | 
|      10098 |              8 | 
|      10099 |              0 | 
|      10099 |              1 | 
|      10099 |              2 | 
|      10099 |              3 | 
|      10099 |              4 | 
|      10099 |              5 | 
|      10099 |              6 | 
|      10099 |              7 | 
|      10099 |              8 | 
|      10100 |              0 | 
|      10100 |              1 | 
|      10100 |              2 | 
|      10100 |              3 | 
|      10100 |              4 | 
|      10100 |              5 | 
|      10100 |              6 | 
|      10100 |              7 | 
|      10100 |              8 | 
|      10101 |              0 | 
|      10101 |              1 | 
|      10101 |              2 | 
|      10101 |              3 | 
|      10101 |              4 | 
|      10101 |              5 | 
|      10101 |              6 | 
|      10101 |              7 | 
|      10101 |              8 | 
|      10102 |              0 | 
|      10102 |              1 | 
|      10102 |              2 | 
|      10102 |              3 | 
|      10102 |              4 | 
|      10102 |              5 | 
|      10102 |              6 | 
|      10102 |              7 | 
|      10102 |              8 | 
|      10103 |              0 | 
|      10103 |              1 | 
|      10103 |              2 | 
|      10103 |              3 | 
|      10103 |              4 | 
|      10103 |              5 | 
|      10103 |              6 | 
|      10104 |              0 | 
|      10105 |              0 | 
+------------+----------------+
133 rows in set (0.01 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=52;
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10106 |              0 | 
|      10106 |              1 | 
|      10106 |              2 | 
|      10107 |              0 | 
|      10107 |              1 | 
|      10107 |              2 | 
|      10107 |              3 | 
|      10107 |              4 | 
|      10107 |              5 | 
|      10107 |              6 | 
|      10108 |              0 | 
|      10108 |              1 | 
|      10108 |              2 | 
|      10108 |              3 | 
|      10108 |              4 | 
|      10108 |              5 | 
|      10108 |              6 | 
|      10109 |              0 | 
|      10109 |              1 | 
|      10109 |              2 | 
|      10109 |              3 | 
|      10109 |              4 | 
|      10109 |              5 | 
|      10109 |              6 | 
|      10110 |              0 | 
|      10110 |              1 | 
|      10110 |              2 | 
|      10110 |              3 | 
|      10110 |              4 | 
|      10110 |              5 | 
|      10110 |              6 | 
|      10112 |              0 | 
|      10113 |              0 | 
|      10113 |              1 | 
|      10113 |              2 | 
|      10113 |              3 | 
|      10114 |              0 | 
|      10114 |              1 | 
|      10114 |              2 | 
|      10115 |              0 | 
|      10115 |              1 | 
|      10115 |              2 | 
|      10115 |              3 | 
|      10115 |              4 | 
|      10115 |              5 | 
|      10115 |              6 | 
|      10115 |              7 | 
|      10115 |              8 | 
|      10116 |              0 | 
|      10117 |              0 | 
|      10117 |              1 | 
|      10117 |              2 | 
|      10117 |              3 | 
|      10117 |              4 | 
|      10117 |              5 | 
|      10117 |              6 | 
|      10117 |              7 | 
|      10117 |              8 | 
|      10118 |              0 | 
|      10118 |              1 | 
|      10118 |              2 | 
|      10118 |              3 | 
|      10118 |              4 | 
|      10118 |              5 | 
|      10118 |              6 | 
|      10118 |              7 | 
|      10118 |              8 | 
|      10118 |              9 | 
|      10118 |             10 | 
+------------+----------------+
69 rows in set (0.00 sec)

mysql> select runlet.run_number,segment_number from runlet, run  where run.run_id=runlet.run_id  and runlet.full_run='false' and slug=53; 
+------------+----------------+
| run_number | segment_number |
+------------+----------------+
|      10119 |              0 | 
|      10119 |              1 | 
